ID,Modul,Pagină,Tip,Prioritate,Problemă,Soluție propusă,Screenshot,Status
BUG-01,Auth/Înregistrare,/app/register,Securitate,Mare,"Câmpul Password vine precompletat cu valoarea reală ""password"" (nu placeholder) - o parolă extrem de slabă, predictibilă; un utilizator neatent poate trimite formularul așa cum e. Concluzia de testare a Claude. Eu nu resesc sa gasesc eroarea. La mine, inclusiv intr-o fereastră incognito, nu apare precompletat câmpul.","Eliminați valoarea implicită din câmpul Password, lăsați-l gol.",,Deschis
BUG-02,Auth/Login+Register,"/app/login, /app/register",Date de test,Medie,"Câmpul Email vine precompletat cu ""anna@test.ch"" atât pe login cât și pe register - pare o valoare de test/demo rămasă expusă în UI. De verificat. Mie nu îmi apare, nu știu ce a văzut Claude. ",Eliminați valorile precompletate din formularele publice.,,Deschis
BUG-03,Auth/Înregistrare,/app/register,UI/Consistență,Medie,"La submit cu ""First name"" gol sau email invalid apare tooltip-ul nativ al browserului în loc de un mesaj de eroare stilizat, ca la restul câmpurilor.","Înlocuiți validarea HTML5 nativă cu mesaje custom, consistente cu stilul folosit la parolă.",BUG-03.png                                     la fel la celelalte câmpuri.,Deschis
BUG-04,Auth/Înregistrare,/app/register,Bug funcțional,Mare,"Mesajul de eroare ""The password field must be at least 8 characters."" rămâne afișat și nu se actualizează în timp real când parola introdusă respectă deja lungimea minimă.",Revalidați câmpul la fiecare modificare (onChange) și ascundeți eroarea imediat ce condiția e satisfăcută.,BUG-04.png,Deschis
BUG-05,Auth/Înregistrare,/app/register,UX,Medie,"Limita de încercări (""Too many registration attempts"") este atinsă foarte rapid, după doar câteva submit-uri de test cu erori de formular.","Aplicați rate-limiting mai permisiv pentru erori de validare, sau contorizați doar încercările finalizate/valide.",,Deschis
BUG-06,Auth/Înregistrare,/app/register,Validare,Medie,"Câmpul ""Phone number"" acceptă text alfabetic (""abcde"") fără nicio validare de format. - VEZI BUG-52 !","Adăugați validare de format telefon (cifre, prefix +41 etc.) cu mesaj de eroare dedicat.",BUG-06.png,Deschis
BUG-07,Auth/Înregistrare,/app/register,Conformitate legală,Mare,"Formularul nu are o casetă de consimțământ pentru Termeni și Condiții / Politica de confidențialitate, relevantă pentru o aplicație care gestionează date fiscale (nLPD/GDPR). - Aici hai să punem un checkbox cu textul / structura asta:                                                       ☐ I agree to the Terms of Service and acknowledge that I have read the Privacy Notice.

Terms of Service → link
Privacy Notice → link","Adăugați checkbox obligatoriu cu link către Termeni și Politica de confidențialitate, înainte de creare cont.",,Deschis
BUG-08,Auth/Înregistrare,/app/register,Localizare,Scăzută,"Selectorul de limbă oferă doar EN/DE/FR/IT - lipsește Romanșa (a 4-a limbă oficială CH), impact redus. - NU este cazul ! :)",Evaluați oportunitatea adăugării (opțional).,,Deschis
BUG-09,Onboarding,/app/new (toți pașii),UI/UX,Medie,"Indicatorii de pas (stepper) arată bifă verde pentru toți pașii chiar dacă pasul curent are câmpuri obligatorii necompletate și erori de validare vizibile. - Aici nu stiu exact ce a văzut Claude, dar eu m-am referit la acest aspect in BUG-57.",Afișați bifa doar la finalizarea cu succes a unui pas; folosiți un indicator neutru pentru pasul curent aflat în eroare.,,Deschis
BUG-10,Onboarding,"/app/new (Business profile, Banking)",Bug funcțional,Mare,"Mesajele de eroare rămân afișate și după corectarea valorii - aceeași cauză ca BUG-04, apare recurent în toată aplicația. - Aici are dreptate Claude. Ar fi bine să validăm câmpurile imediat ce s-a terminat editarea, nu când se dă din nou click pe butonul NEXT. ","Revalidați câmpurile la fiecare modificare (onChange/onBlur) în toate formularele, nu doar la submit.",,Deschis
BUG-11,Onboarding,/app/new (Business profile),Business logic,Mare,"Câmpurile de adresă (Street, No., Cod poștal, City) sunt opționale, deși o adresă completă e necesară pentru facturi conforme legal în Elveția.","Marcați adresa ca obligatorie sau clarificați în UI că va fi cerută ulterior. - Adresa trebuie cerută atât pentru utilizatorul persoană fizică (pentru calcul taxe), dar si ulterior in fiecare profil de business pentru datele de facturare si alte aspecte administrative legate de raportări, etc. Ar fi ideal să folosim ceva cataloage care să și completeze automat, de exemplu codul postal, orasul si cantonul după ce am completat strada si numărul... sau ceva de genul asta. ",BUG-11.png,Deschis
BUG-12,Onboarding,/app/new (Tax profile),Bug funcțional,Mare,"Dropdown-ul Commune afișează ""No options available"" chiar și după selectarea unui canton valid (Aargau).",Populați lista de comune pe baza cantonului selectat. - DA,BUG-12.png,Deschis
BUG-13,Onboarding,/app/new (Tax profile),Business logic,Medie,"Statutul civil oferă doar Tarif A/B/H - lipsește Tarif C (căsătorit, venituri duble).",Adăugați opțiunea Tariff C pentru cupluri cu venituri duble. - DA,BUG-13.png,Deschis
BUG-14,Onboarding,/app/new (Tax profile),Business logic,Scăzută,"Residence permit oferă doar 2 opțiuni (Swiss citizen/C, B permit) - lipsesc alte categorii relevante (L, G).","Evaluați adăugarea altor categorii de permise, dacă e relevant pentru scopul POC. - de fapt aici numele câmpului trebuie schimbat în ""Residence status"" iar lista trebuie să afiseze următoarele optiuni: 🇨🇭 Swiss citizen
🇪🇺 EU/EFTA citizen – Permit B
🇪🇺 EU/EFTA citizen – Permit C
🇪🇺 EU/EFTA citizen – Permit L
🌍 Non-EU/EFTA – Permit B
🌍 Non-EU/EFTA – Permit C
🌍 Non-EU/EFTA – Permit L
Cross-border commuter (Permit G).",BUG-14.png,Deschis
BUG-15,Clienți,/clients/create,Validare,Medie,"La trimiterea formularului cu câmpul Nume gol, apare tooltip-ul nativ al browserului în loc de un mesaj de eroare stilizat.","nlocuiți validarea nativă HTML cu un mesaj de eroare custom, consecvent cu restul aplicației. DA",BUG-15.png,Deschis
BUG-16,Facturi,/invoices/create,Bug funcțional,Medie,"Câmpurile numerice (Cantitate, Preț unitar) nu se golesc complet la triple-click, ducand la valori concatenate incorecte (ex. 0 + 200 = 0200).","Asigurați selectarea completă a conținutului câmpului la focus/click. - DA, vezi de asemenea BUG-59.",BUG-16.png,Deschis
BUG-17,Facturi,/invoices/create,Bug critic,Critică,"Panoul Summary afișează un total incorect și neactualizat live (ex. CHF 985'995 în loc de ~CHF 1'081) după modificarea liniilor. Datele salvate sunt corecte, dar afișarea induce grav în eroare.","Recalculați și re-renderizați panoul Summary la fiecare modificare a liniilor, înainte de salvare.",BUG-17.png,Deschis
BUG-18,Facturi,/invoices/{id},UI/Layout,Scăzută,"Coloanele din tabelul de linii ale facturii se îngustează/textul se rupe incorect pe ecrane mai mici, afectând lizibilitatea.",Ajustați lățimile coloanelor și adăugați wrap/overflow handling corespunzător.,BUG-18.png,Deschis
BUG-19,Facturi,/invoices/{id},Funcționalitate lipsă,Critică,"Pagina de vizualizare a facturii nu are niciun buton de acțiune (Send, Download PDF, Mark as paid, Edit), făcând imposibilă utilizarea practică a facturii create.",Adăugați butoane de acțiune esențiale pe pagina de vizualizare a facturii.,BUG-19.png,Deschis
BUG-20,Cheltuieli,/expenses/create,Validare,Medie,"Formularul permite salvarea unei cheltuieli cu Amount = 0 (camp marcat obligatoriu) si fara Vendor/Categorie, fara nicio eroare.","Blocati trimiterea daca Amount este 0 sau lipsa, cu mesaj de eroare clar.",BUG-20.png,Deschis
BUG-21,Cheltuieli,/expenses/{id}/edit,Bug funcțional,Mare,"La editare cu valori nevalide (Amount = -50, VAT rate = 150%), butonul Save changes nu salveaza, dar nici nu afiseaza vreo eroare - datele revin silentios la 0, fara feedback pentru utilizator.","Afisati mesaje de eroare explicite cand validarea esueaza la salvare, in loc de esec silentios.",BUG-21.png,Deschis
BUG-22,Cheltuieli,"/expenses/create, /edit",UI/Layout,Scăzută,Eticheta categoriei selectate (Office equipment & peripherals) se afiseaza pe 5 randuri intr-un camp prea ingust.,Lărgiți câmpul sau afișați eticheta trunchiată cu tooltip complet.,BUG-22.png,Deschis
BUG-23,Cheltuieli,/expenses (List),UX / Business logic,Medie,Coloanele Deductibility si Status pot afisa valori contradictorii (ex. 100% deductible vs Review needed); nu este evident ca o actiune separata Confirm din meniul cu 3 puncte este necesara pentru ca cheltuiala sa fie inclusa in Tax estimate/VAT summary.,Clarificați relația dintre Deductibility și Status sau uniți-le; adăugați un indiciu vizual despre pasul de confirmare necesar.,BUG-23.png,Deschis
